from_id,to_id,a_ij
1,2,0.5
1,6,0.5
2,1,0.1818
2,3,0.2727
2,6,0.2727
2,7,0.2727
6,1,0.1538
6,2,0.1538
6,7,0.2308
6,10,0.2308
6,11,0.2308
3,2,0.1818
3,4,0.2727
3,7,0.2727
3,8,0.2727
7,2,0.1333
7,3,0.1333
7,6,0.1333
7,8,0.2
7,11,0.2
7,12,0.2
4,3,0.1818
4,5,0.2727
4,8,0.2727
4,9,0.2727
8,3,0.1333
8,4,0.1333
8,7,0.1333
8,9,0.2
8,12,0.2
8,13,0.2
5,4,0.25
5,9,0.375
5,14,0.375
9,4,0.1667
9,5,0.1667
9,8,0.1667
9,13,0.25
9,14,0.25
14,5,0.1667
14,9,0.1667
14,13,0.1667
14,18,0.25
14,21,0.25
10,6,0.25
10,11,0.375
10,15,0.375
11,6,0.1333
11,7,0.1333
11,10,0.1333
11,12,0.2
11,15,0.2
11,16,0.2
12,7,0.1333
12,8,0.1333
12,11,0.1333
12,13,0.2
12,16,0.2
12,17,0.2
13,8,0.1333
13,9,0.1333
13,12,0.1333
13,14,0.2
13,17,0.2
13,18,0.2
15,10,0.2
15,11,0.2
15,16,0.3
15,19,0.3
16,11,0.1667
16,12,0.1667
16,15,0.1667
16,17,0.25
16,19,0.25
17,12,0.1667
17,13,0.1667
17,16,0.1667
17,18,0.25
17,20,0.25
18,13,0.1667
18,14,0.1667
18,17,0.1667
18,20,0.25
18,21,0.25
21,14,0.2222
21,18,0.2222
21,20,0.2222
21,22,0.3333
19,15,0.2
19,16,0.2
19,20,0.3
19,22,0.3
20,17,0.1667
20,18,0.1667
20,19,0.1667
20,21,0.25
20,22,0.25
22,19,0.3333
22,20,0.3333
22,21,0.3333
