from_id,to_id,road_index_r,b_r
1,2,1,1.0
2,1,1,1.0
1,6,1,1.0
6,1,1,1.0
2,3,1,1.0
3,2,1,1.0
2,6,1,1.0
6,2,1,1.0
2,7,1,0.62
7,2,1,0.62
2,7,2,0.38
7,2,2,0.38
3,4,1,1.0
4,3,1,1.0
3,7,1,1.0
7,3,1,1.0
3,8,1,1.0
8,3,1,1.0
4,5,1,1.0
5,4,1,1.0
4,8,1,1.0
8,4,1,1.0
4,9,1,1.0
9,4,1,1.0
5,9,1,1.0
9,5,1,1.0
5,14,1,1.0
14,5,1,1.0
6,7,1,1.0
7,6,1,1.0
6,10,1,1.0
10,6,1,1.0
6,11,1,1.0
11,6,1,1.0
7,8,1,1.0
8,7,1,1.0
7,11,1,1.0
11,7,1,1.0
7,12,1,0.62
12,7,1,0.62
7,12,2,0.38
12,7,2,0.38
8,9,1,1.0
9,8,1,1.0
8,12,1,1.0
12,8,1,1.0
8,13,1,0.62
13,8,1,0.62
8,13,2,0.38
13,8,2,0.38
9,13,1,1.0
13,9,1,1.0
9,14,1,1.0
14,9,1,1.0
10,11,1,1.0
11,10,1,1.0
10,15,1,1.0
15,10,1,1.0
11,12,1,1.0
12,11,1,1.0
11,15,1,1.0
15,11,1,1.0
11,16,1,1.0
16,11,1,1.0
12,13,1,1.0
13,12,1,1.0
12,16,1,1.0
16,12,1,1.0
12,17,1,0.62
17,12,1,0.62
12,17,2,0.38
17,12,2,0.38
13,14,1,1.0
14,13,1,1.0
13,17,1,1.0
17,13,1,1.0
13,18,1,1.0
18,13,1,1.0
14,18,1,1.0
18,14,1,1.0
14,21,1,1.0
21,14,1,1.0
15,16,1,1.0
16,15,1,1.0
15,19,1,1.0
19,15,1,1.0
16,17,1,1.0
17,16,1,1.0
16,19,1,0.62
19,16,1,0.62
16,19,2,0.38
19,16,2,0.38
17,18,1,1.0
18,17,1,1.0
17,20,1,1.0
20,17,1,1.0
18,20,1,1.0
20,18,1,1.0
18,21,1,1.0
21,18,1,1.0
19,20,1,1.0
20,19,1,1.0
19,22,1,1.0
22,19,1,1.0
20,21,1,1.0
21,20,1,1.0
20,22,1,1.0
22,20,1,1.0
21,22,1,1.0
22,21,1,1.0
