element_id,type_name,x,y,area_Aq,sigma_q,weight_wq
1,半开放建筑,4987.51,1080.5,331.4,477.62,1.0
2,半开放建筑,4893.96,2896.78,438.81,413.85,1.0
3,半开放建筑,1239.73,3741.93,281.89,258.44,1.0
4,半开放建筑,2354.4,2563.94,260.07,184.37,1.0
5,半开放建筑,1169.29,2916.0,208.18,321.21,1.0
6,半开放建筑,2939.31,1630.34,175.89,334.62,1.0
7,半开放建筑,1580.76,4266.87,135.07,337.49,1.0
8,半开放建筑,3615.87,1842.94,360.57,346.63,1.0
9,半开放建筑,2694.51,2680.67,140.14,364.65,1.0
10,半开放建筑,2935.51,1397.91,200.45,365.67,1.0
11,实体建筑,2748.16,1054.48,241.61,489.02,1.2
12,实体建筑,2874.33,3033.19,187.72,455.44,1.2
13,实体建筑,1426.5,3471.12,150.83,446.4,1.2
14,实体建筑,3466.87,1595.5,195.84,305.12,1.2
15,实体建筑,2244.77,3054.96,98.29,514.52,1.2
16,实体建筑,3357.46,2883.57,265.94,334.33,1.2
17,实体建筑,3701.39,1804.88,144.3,273.8,1.2
18,实体建筑,1462.41,4029.51,370.9,255.18,1.2
19,实体建筑,4403.66,3718.15,221.25,381.61,1.2
20,实体建筑,3964.87,2984.78,405.12,349.83,1.2
21,道路,1309.87,2258.58,364.3,262.46,0.4
22,道路,4698.37,3461.56,337.08,399.86,0.4
23,道路,1105.92,4103.99,408.74,399.42,0.4
24,道路,4592.19,1233.8,346.59,201.65,0.4
25,道路,3802.19,1417.25,164.53,448.62,0.4
26,道路,2671.3,2042.46,401.51,367.59,0.4
27,道路,1447.66,1513.91,391.54,493.19,0.4
28,道路,4422.3,4493.89,352.72,192.27,0.4
29,道路,3845.52,1991.21,434.05,269.53,0.4
30,道路,4250.96,4723.72,106.05,222.84,0.4
31,道路,3958.84,2878.26,263.12,490.31,0.4
32,假山,4638.73,1757.65,127.04,490.75,1.1
33,假山,4144.89,3708.83,381.55,392.47,1.1
34,假山,1346.23,4708.17,254.51,261.4,1.1
35,假山,2904.17,2838.64,92.61,495.46,1.1
36,假山,800.68,2660.63,309.75,512.05,1.1
37,假山,1288.43,3753.87,376.08,463.94,1.1
38,假山,3026.21,3677.24,316.92,190.32,1.1
39,假山,3318.72,1204.79,265.32,297.12,1.1
40,假山,1949.29,948.45,448.11,481.11,1.1
41,假山,1044.14,3185.02,235.52,277.48,1.1
42,假山,923.83,3245.3,201.96,372.97,1.1
43,假山,1194.58,2633.62,311.95,183.8,1.1
44,假山,2458.93,4374.31,358.34,384.95,1.1
45,水体,1673.97,3171.99,397.61,210.99,1.3
46,水体,1617.06,1050.8,296.65,464.93,1.3
47,水体,3951.0,4169.26,239.42,234.21,1.3
48,水体,1051.17,2985.59,157.5,251.52,1.3
49,水体,4926.73,3046.19,306.08,351.79,1.3
50,水体,4354.09,2021.46,263.49,269.76,1.3
51,水体,2911.16,3726.6,210.0,331.54,1.3
52,水体,4547.89,3430.09,336.12,454.13,1.3
53,水体,1071.42,1628.53,306.95,494.38,1.3
54,植物,1428.57,3018.66,242.1,284.64,0.9
55,植物,2134.23,3117.54,280.54,442.9,0.9
56,植物,1890.54,1400.41,193.83,478.98,0.9
57,植物,1779.85,971.06,368.52,380.96,0.9
58,植物,2823.33,2531.4,183.8,398.81,0.9
59,植物,4434.0,2630.83,177.3,489.51,0.9
60,植物,4833.33,2936.96,271.3,367.31,0.9
61,植物,1117.85,968.02,357.31,341.23,0.9
62,植物,4231.11,1685.47,289.46,364.7,0.9
63,植物,3640.44,2358.15,366.13,409.48,0.9
64,植物,1461.25,4725.55,212.99,349.85,0.9
65,植物,2139.92,4425.36,404.02,357.49,0.9
66,植物,2887.13,4220.63,104.81,506.77,0.9
