spot_id,minute_t,monitor_count_nc
1,1,5
1,2,6
1,3,9
1,4,8
1,5,7
1,6,8
1,7,8
1,8,7
1,9,9
1,10,9
1,11,10
1,12,10
1,13,12
1,14,12
1,15,13
1,16,7
1,17,10
1,18,14
1,19,15
1,20,14
1,21,13
1,22,14
1,23,14
1,24,12
1,25,15
1,26,17
1,27,17
1,28,15
1,29,17
1,30,18
1,31,16
1,32,19
1,33,16
1,34,18
1,35,19
1,36,17
1,37,17
1,38,17
1,39,18
1,40,20
1,41,19
1,42,19
1,43,19
1,44,20
1,45,22
1,46,18
1,47,20
1,48,21
1,49,20
1,50,21
1,51,22
1,52,21
1,53,22
1,54,19
1,55,21
1,56,20
1,57,21
1,58,22
1,59,23
1,60,20
1,61,18
1,62,20
1,63,18
1,64,18
1,65,17
1,66,18
1,67,19
1,68,16
1,69,16
1,70,14
1,71,17
1,72,17
1,73,16
1,74,15
1,75,15
1,76,15
1,77,15
1,78,13
1,79,12
1,80,13
1,81,11
1,82,14
1,83,13
1,84,9
1,85,12
1,86,10
1,87,9
1,88,8
1,89,9
1,90,7
2,1,4
2,2,1
2,3,4
2,4,1
2,5,0
2,6,5
2,7,5
2,8,6
2,9,4
2,10,5
2,11,7
2,12,4
2,13,7
2,14,5
2,15,4
2,16,4
2,17,4
2,18,6
2,19,7
2,20,9
2,21,9
2,22,9
2,23,6
2,24,4
2,25,7
2,26,7
2,27,10
2,28,7
2,29,8
2,30,9
2,31,9
2,32,11
2,33,8
2,34,12
2,35,10
2,36,10
2,37,9
2,38,11
2,39,12
2,40,11
2,41,9
2,42,10
2,43,9
2,44,10
2,45,12
2,46,9
2,47,9
2,48,11
2,49,10
2,50,13
2,51,10
2,52,12
2,53,11
2,54,10
2,55,15
2,56,12
2,57,12
2,58,11
2,59,13
2,60,13
2,61,9
2,62,10
2,63,13
2,64,9
2,65,11
2,66,7
2,67,9
2,68,10
2,69,9
2,70,7
2,71,11
2,72,9
2,73,10
2,74,5
2,75,7
2,76,9
2,77,5
2,78,6
2,79,5
2,80,6
2,81,6
2,82,7
2,83,4
2,84,6
2,85,7
2,86,2
2,87,4
2,88,5
2,89,5
2,90,6
3,1,2
3,2,4
3,3,0
3,4,4
3,5,3
3,6,4
3,7,4
3,8,5
3,9,4
3,10,6
3,11,4
3,12,5
3,13,4
3,14,7
3,15,7
3,16,3
3,17,3
3,18,2
3,19,6
3,20,3
3,21,5
3,22,7
3,23,6
3,24,3
3,25,9
3,26,7
