road_id,from_id,to_id,road_index_r,length_L,travel_time_tau,energy_C,boundary_B,bidirectional
1,1,2,1,451.73,6,5.41,90.94,1
2,1,6,1,531.07,6,6.44,75.7,1
3,2,3,1,371.2,4,5.41,88.42,1
4,2,6,1,461.43,5,5.04,77.76,1
5,2,7,1,454.84,6,6.53,86.57,1
6,2,7,2,708.57,7,7.92,137.63,1
7,3,4,1,410.1,3,4.27,29.36,1
8,3,7,1,521.41,10,5.54,89.93,1
9,3,8,1,568.21,4,7.12,43.36,1
10,4,5,1,364.69,3,3.92,46.7,1
11,4,8,1,374.18,4,5.48,103.53,1
12,4,9,1,553.39,10,6.3,137.25,1
13,5,9,1,427.82,8,4.9,62.57,1
14,5,14,1,698.73,7,7.14,110.36,1
15,6,7,1,379.63,6,3.95,90.93,1
16,6,10,1,382.02,3,5.69,88.73,1
17,6,11,1,574.39,5,5.89,120.14,1
18,7,8,1,451.21,4,5.94,32.5,1
19,7,11,1,504.0,4,6.06,42.93,1
20,7,12,1,535.96,10,5.46,72.99,1
21,7,12,2,860.37,13,9.7,202.8,1
22,8,9,1,466.89,4,6.07,86.0,1
23,8,12,1,438.12,3,4.7,38.23,1
24,8,13,1,658.93,5,7.76,158.71,1
25,8,13,2,878.27,11,9.85,69.67,1
26,9,13,1,349.2,6,3.83,26.37,1
27,9,14,1,400.84,5,4.58,38.3,1
28,10,11,1,464.97,8,6.57,113.69,1
29,10,15,1,533.8,8,7.23,56.42,1
30,11,12,1,466.14,4,6.08,68.17,1
31,11,15,1,495.17,6,5.24,35.4,1
32,11,16,1,528.47,7,5.93,41.89,1
33,12,13,1,442.95,4,4.59,119.7,1
34,12,16,1,433.47,5,5.42,58.47,1
35,12,17,1,457.22,4,6.19,56.21,1
36,12,17,2,842.02,12,8.68,163.86,1
37,13,14,1,444.4,4,6.25,92.27,1
38,13,17,1,492.71,8,6.53,91.72,1
39,13,18,1,463.15,5,6.36,117.25,1
40,14,18,1,561.22,6,7.29,94.53,1
41,14,21,1,855.83,7,8.63,209.8,1
42,15,16,1,362.58,6,5.45,61.44,1
43,15,19,1,624.77,12,7.31,94.41,1
44,16,17,1,441.77,8,5.76,90.19,1
45,16,19,1,363.57,3,4.88,55.28,1
46,16,19,2,609.29,7,6.62,166.58,1
47,17,18,1,491.85,4,5.74,100.59,1
48,17,20,1,489.7,5,5.89,97.66,1
49,18,20,1,496.67,5,6.53,111.74,1
50,18,21,1,283.91,3,3.94,68.33,1
51,19,20,1,424.49,4,4.89,69.18,1
52,19,22,1,1196.31,17,12.43,292.85,1
53,20,21,1,466.94,4,4.8,130.35,1
54,20,22,1,851.28,11,9.7,159.26,1
55,21,22,1,393.7,7,5.64,92.24,1
