spot_id,name,x,y,env_type,area_Ai,monitor_area_Ac,capacity_Si,mu_stay,sigma_stay,is_entrance,theta1,theta2
1,正门石坊,1000,4600,B,160,55,48,3.5,1.0,1,0.55,0.9
2,玉兰堂,1700,4400,B,210,70,50,6.0,1.6,0,0.55,0.9
3,藕花水榭,2500,4550,W,180,60,45,7.5,2.0,0,0.55,0.9
4,月到风来亭,3300,4300,W,130,45,38,5.5,1.4,0,0.55,0.9
5,金粟亭,4100,4100,B,150,50,42,6.5,1.7,0,0.55,0.9
6,桐荫斋,1400,3700,F,260,80,50,5.0,1.3,0,0.55,0.9
7,面壁亭,2200,3800,B,170,55,45,7.0,1.9,0,0.55,0.9
8,锁绿轩,3000,3600,B,200,65,48,8.0,2.1,0,0.55,0.9
9,湛露堂,3800,3400,B,240,75,50,9.0,2.4,0,0.55,0.9
10,南雪亭,1200,3000,F,220,70,48,5.5,1.5,0,0.55,0.9
11,碧梧栖凤,2000,2900,F,280,85,50,6.0,1.6,0,0.55,0.9
12,石听琴室,2800,2800,B,190,60,46,7.5,2.0,0,0.55,0.9
13,坡仙琴馆,3600,2700,B,210,70,50,8.5,2.2,0,0.55,0.9
14,拜石轩,4400,2900,B,230,75,50,9.5,2.5,0,0.55,0.9
15,锄月轩,1600,2200,B,180,60,45,6.0,1.5,0,0.55,0.9
16,金栗斋,2400,2100,B,200,65,48,7.0,1.8,0,0.55,0.9
17,小沧浪馆,3200,2000,W,170,55,42,8.0,2.0,0,0.55,0.9
18,螺髻亭,4000,1800,F,150,50,40,6.5,1.7,0,0.55,0.9
19,岁寒草庐,2600,1400,B,220,70,50,8.0,2.1,0,0.55,0.9
20,藕香深处,3400,1200,W,190,60,46,9.0,2.3,0,0.55,0.9
21,碧梧台,4200,1300,F,210,70,48,7.0,1.8,0,0.55,0.9
22,园门茶寮,4800,1000,B,140,50,40,3.5,0.9,0,0.55,0.9
