road_id,from_id,to_id,road_index_r,length_L,Q
1,1,2,1,451.73,0.8828574068959492
2,1,6,1,531.07,1.49673691645917
3,2,3,1,371.2,0.6202354659550239
4,2,6,1,461.43,1.08694928755563
5,2,7,1,454.84,0.7884543257516676
6,2,7,2,708.57,0.942658691108942
7,3,4,1,410.1,0.4948525845849331
8,3,7,1,521.41,0.6170575715662145
9,3,8,1,568.21,1.2270439770649324
10,4,5,1,364.69,0.95577919090257
11,4,8,1,374.18,2.0670469506082325
12,4,9,1,553.39,0.7928410738044438
13,5,9,1,427.82,0.6766752315664155
14,5,14,1,698.73,0.6351009658547346
15,6,7,1,379.63,1.2826529225787089
16,6,10,1,382.02,0.7888903586510794
17,6,11,1,574.39,1.8782818262183325
18,7,8,1,451.21,1.3215091245148085
19,7,11,1,504.0,0.7384414540616661
20,7,12,1,535.96,0.4629465305789637
21,7,12,2,860.37,0.8568085398256235
22,8,9,1,466.89,1.436793330731378
23,8,12,1,438.12,0.9687980222242948
24,8,13,1,658.93,1.2028731648736528
25,8,13,2,878.27,0.9259529229612852
26,9,13,1,349.2,0.4320480633395355
27,9,14,1,400.84,0.4961440078349539
28,10,11,1,464.97,1.8427060685481105
29,10,15,1,533.8,2.1345922154655392
30,11,12,1,466.14,0.7773383361141795
31,11,15,1,495.17,0.5760845168268277
32,11,16,1,528.47,1.0924359031366837
33,12,13,1,442.95,0.5931513444643527
34,12,16,1,433.47,0.8165601495180062
35,12,17,1,457.22,0.4199001878284313
36,12,17,2,842.02,0.7436355994973018
37,13,14,1,444.4,0.611439731847983
38,13,17,1,492.71,0.6204489218864244
39,13,18,1,463.15,0.8789565073412062
40,14,18,1,561.22,0.7979117827770763
41,14,21,1,855.83,1.177212686284404
42,15,16,1,362.58,0.4746417530088838
43,15,19,1,624.77,0.5805013484115071
44,16,17,1,441.77,0.5902437072583543
45,16,19,1,363.57,0.4564778571144031
46,16,19,2,609.29,0.7939674832558994
47,17,18,1,491.85,0.9448960305683628
48,17,20,1,489.7,0.8057359028106503
49,18,20,1,496.67,1.0692209953879153
50,18,21,1,283.91,0.9845882815126656
51,19,20,1,424.49,0.6541030459692223
52,19,22,1,1196.31,1.5304633164880417
53,20,21,1,466.94,1.0439924724289524
54,20,22,1,851.28,1.1092531294556511
55,21,22,1,393.7,0.8602975820453802
