frame,spot_id,spot,elapsed_min,step1,step2,arrive_min,crowd_lo,crowd_hi,path_Q,JR
1,1,Stone Arch Gate,0.0,Magnolia Hall,Lotus Waterside,6,19.22,27.23,0.7644,0.098844
1,1,Stone Arch Gate,0.0,Paulownia Studio,Wall-Facing Pavilion,6,30.46,41.3,1.4075,0.108593
1,1,Stone Arch Gate,0.0,Paulownia Studio,South Snow Pavilion,6,30.46,41.3,1.2006,0.199095
1,1,Stone Arch Gate,0.0,Magnolia Hall,Paulownia Studio,6,19.22,27.23,0.986,0.256865
2,1,Stone Arch Gate,0.0,Magnolia Hall,Lotus Waterside,6,19.22,27.23,0.7644,0.098844
2,1,Stone Arch Gate,0.0,Paulownia Studio,Wall-Facing Pavilion,6,30.46,41.3,1.4075,0.108593
2,1,Stone Arch Gate,0.0,Paulownia Studio,South Snow Pavilion,6,30.46,41.3,1.2006,0.199095
2,1,Stone Arch Gate,0.0,Magnolia Hall,Paulownia Studio,6,19.22,27.23,0.986,0.256865
3,1,Stone Arch Gate,0.0,Magnolia Hall,Lotus Waterside,6,19.22,27.23,0.7644,0.098844
3,1,Stone Arch Gate,0.0,Paulownia Studio,Wall-Facing Pavilion,6,30.46,41.3,1.4075,0.108593
3,1,Stone Arch Gate,0.0,Paulownia Studio,South Snow Pavilion,6,30.46,41.3,1.2006,0.199095
3,1,Stone Arch Gate,0.0,Magnolia Hall,Paulownia Studio,6,19.22,27.23,0.986,0.256865
4,1,Stone Arch Gate,0.0,Magnolia Hall,Lotus Waterside,6,19.22,27.23,0.7644,0.098844
4,1,Stone Arch Gate,0.0,Paulownia Studio,Wall-Facing Pavilion,6,30.46,41.3,1.4075,0.108593
4,1,Stone Arch Gate,0.0,Paulownia Studio,South Snow Pavilion,6,30.46,41.3,1.2006,0.199095
4,1,Stone Arch Gate,0.0,Magnolia Hall,Paulownia Studio,6,19.22,27.23,0.986,0.256865
40,6,Paulownia Studio,6.0,Wall-Facing Pavilion,Lotus Waterside,6,24.44,33.76,0.8975,0.143121
40,6,Paulownia Studio,6.0,Wall-Facing Pavilion,Locked Green Studio,6,24.44,33.76,1.3038,0.14705
40,6,Paulownia Studio,6.0,Magnolia Hall,Lotus Waterside,5,19.18,27.18,0.8789,0.159986
40,6,Paulownia Studio,6.0,Wall-Facing Pavilion,Phoenix Paulownia,6,24.44,33.76,0.9722,0.196874
41,6,Paulownia Studio,6.23,Wall-Facing Pavilion,Lotus Waterside,6,24.44,33.76,0.8975,0.143121
41,6,Paulownia Studio,6.23,Wall-Facing Pavilion,Locked Green Studio,6,24.44,33.76,1.3038,0.14705
41,6,Paulownia Studio,6.23,Magnolia Hall,Lotus Waterside,5,19.18,27.18,0.8789,0.159986
41,6,Paulownia Studio,6.23,Wall-Facing Pavilion,Phoenix Paulownia,6,24.44,33.76,0.9722,0.196874
42,6,Paulownia Studio,6.45,Wall-Facing Pavilion,Lotus Waterside,6,24.44,33.76,0.8975,0.143121
42,6,Paulownia Studio,6.45,Wall-Facing Pavilion,Locked Green Studio,6,24.44,33.76,1.3038,0.14705
42,6,Paulownia Studio,6.45,Magnolia Hall,Lotus Waterside,5,19.18,27.18,0.8789,0.159986
42,6,Paulownia Studio,6.45,Wall-Facing Pavilion,Phoenix Paulownia,6,24.44,33.76,0.9722,0.196874
43,6,Paulownia Studio,6.68,Wall-Facing Pavilion,Lotus Waterside,6,24.44,33.76,0.8975,0.143121
43,6,Paulownia Studio,6.68,Wall-Facing Pavilion,Locked Green Studio,6,24.44,33.76,1.3038,0.14705
43,6,Paulownia Studio,6.68,Magnolia Hall,Lotus Waterside,5,19.18,27.18,0.8789,0.159986
43,6,Paulownia Studio,6.68,Wall-Facing Pavilion,Phoenix Paulownia,6,24.44,33.76,0.9722,0.196874
44,6,Paulownia Studio,6.91,Wall-Facing Pavilion,Lotus Waterside,6,24.44,33.76,0.8975,0.143121
44,6,Paulownia Studio,6.91,Wall-Facing Pavilion,Locked Green Studio,6,24.44,33.76,1.3038,0.14705
44,6,Paulownia Studio,6.91,Magnolia Hall,Lotus Waterside,5,19.18,27.18,0.8789,0.159986
44,6,Paulownia Studio,6.91,Wall-Facing Pavilion,Phoenix Paulownia,6,24.44,33.76,0.9722,0.196874
45,6,Paulownia Studio,7.14,Wall-Facing Pavilion,Locked Green Studio,6,23.42,32.49,1.3038,0.15795
45,6,Paulownia Studio,7.14,Wall-Facing Pavilion,Lotus Waterside,6,23.42,32.49,0.8975,0.172871
45,6,Paulownia Studio,7.14,Magnolia Hall,Lotus Waterside,5,19.44,27.5,0.8789,0.174193
45,6,Paulownia Studio,7.14,Wall-Facing Pavilion,Phoenix Paulownia,6,23.42,32.49,0.9722,0.236447
46,6,Paulownia Studio,7.36,Wall-Facing Pavilion,Locked Green Studio,6,23.42,32.49,1.3038,0.15795
46,6,Paulownia Studio,7.36,Wall-Facing Pavilion,Lotus Waterside,6,23.42,32.49,0.8975,0.172871
46,6,Paulownia Studio,7.36,Magnolia Hall,Lotus Waterside,5,19.44,27.5,0.8789,0.174193
46,6,Paulownia Studio,7.36,Wall-Facing Pavilion,Phoenix Paulownia,6,23.42,32.49,0.9722,0.236447
47,6,Paulownia Studio,7.59,Wall-Facing Pavilion,Locked Green Studio,6,23.42,32.49,1.3038,0.15795
47,6,Paulownia Studio,7.59,Wall-Facing Pavilion,Lotus Waterside,6,23.42,32.49,0.8975,0.172871
47,6,Paulownia Studio,7.59,Magnolia Hall,Lotus Waterside,5,19.44,27.5,0.8789,0.174193
47,6,Paulownia Studio,7.59,Wall-Facing Pavilion,Phoenix Paulownia,6,23.42,32.49,0.9722,0.236447
48,6,Paulownia Studio,7.82,Wall-Facing Pavilion,Locked Green Studio,6,23.42,32.49,1.3038,0.15795
48,6,Paulownia Studio,7.82,Wall-Facing Pavilion,Lotus Waterside,6,23.42,32.49,0.8975,0.172871
48,6,Paulownia Studio,7.82,Magnolia Hall,Lotus Waterside,5,19.44,27.5,0.8789,0.174193
48,6,Paulownia Studio,7.82,Wall-Facing Pavilion,Phoenix Paulownia,6,23.42,32.49,0.9722,0.236447
49,6,Paulownia Studio,8.05,Wall-Facing Pavilion,Locked Green Studio,6,23.0,31.96,1.3038,0.156929
49,6,Paulownia Studio,8.05,Wall-Facing Pavilion,Lotus Waterside,6,23.0,31.96,0.8975,0.172174
49,6,Paulownia Studio,8.05,Magnolia Hall,Lotus Waterside,5,23.01,31.97,0.8789,0.203999
49,6,Paulownia Studio,8.05,Wall-Facing Pavilion,Phoenix Paulownia,6,23.0,31.96,0.9722,0.245823
50,6,Paulownia Studio,8.27,Wall-Facing Pavilion,Locked Green Studio,6,23.0,31.96,1.3038,0.156929
50,6,Paulownia Studio,8.27,Wall-Facing Pavilion,Lotus Waterside,6,23.0,31.96,0.8975,0.172174
50,6,Paulownia Studio,8.27,Magnolia Hall,Lotus Waterside,5,23.01,31.97,0.8789,0.203999
50,6,Paulownia Studio,8.27,Wall-Facing Pavilion,Phoenix Paulownia,6,23.0,31.96,0.9722,0.245823
51,6,Paulownia Studio,8.5,Wall-Facing Pavilion,Locked Green Studio,6,23.0,31.96,1.3038,0.156929
51,6,Paulownia Studio,8.5,Wall-Facing Pavilion,Lotus Waterside,6,23.0,31.96,0.8975,0.172174
51,6,Paulownia Studio,8.5,Magnolia Hall,Lotus Waterside,5,23.01,31.97,0.8789,0.203999
51,6,Paulownia Studio,8.5,Wall-Facing Pavilion,Phoenix Paulownia,6,23.0,31.96,0.9722,0.245823
52,6,Paulownia Studio,8.73,Wall-Facing Pavilion,Locked Green Studio,6,23.0,31.96,1.3038,0.156929
52,6,Paulownia Studio,8.73,Wall-Facing Pavilion,Lotus Waterside,6,23.0,31.96,0.8975,0.172174
52,6,Paulownia Studio,8.73,Magnolia Hall,Lotus Waterside,5,23.01,31.97,0.8789,0.203999
52,6,Paulownia Studio,8.73,Wall-Facing Pavilion,Phoenix Paulownia,6,23.0,31.96,0.9722,0.245823
53,6,Paulownia Studio,8.95,Wall-Facing Pavilion,Locked Green Studio,6,23.0,31.96,1.3038,0.156929
53,6,Paulownia Studio,8.95,Wall-Facing Pavilion,Lotus Waterside,6,23.0,31.96,0.8975,0.172174
53,6,Paulownia Studio,8.95,Magnolia Hall,Lotus Waterside,5,23.01,31.97,0.8789,0.203999
53,6,Paulownia Studio,8.95,Wall-Facing Pavilion,Phoenix Paulownia,6,23.0,31.96,0.9722,0.245823
54,6,Paulownia Studio,9.18,Wall-Facing Pavilion,Locked Green Studio,6,27.98,38.19,1.3038,0.131424
54,6,Paulownia Studio,9.18,Wall-Facing Pavilion,Lotus Waterside,6,27.98,38.19,0.8975,0.151133
54,6,Paulownia Studio,9.18,Magnolia Hall,Lotus Waterside,5,21.85,30.52,0.8789,0.201921
54,6,Paulownia Studio,9.18,Wall-Facing Pavilion,Magnolia Hall,6,27.98,38.19,1.0133,0.228212
55,6,Paulownia Studio,9.41,Wall-Facing Pavilion,Locked Green Studio,6,27.98,38.19,1.3038,0.131424
55,6,Paulownia Studio,9.41,Wall-Facing Pavilion,Lotus Waterside,6,27.98,38.19,0.8975,0.151133
55,6,Paulownia Studio,9.41,Magnolia Hall,Lotus Waterside,5,21.85,30.52,0.8789,0.201921
55,6,Paulownia Studio,9.41,Wall-Facing Pavilion,Magnolia Hall,6,27.98,38.19,1.0133,0.228212
56,6,Paulownia Studio,9.64,Wall-Facing Pavilion,Locked Green Studio,6,27.98,38.19,1.3038,0.131424
56,6,Paulownia Studio,9.64,Wall-Facing Pavilion,Lotus Waterside,6,27.98,38.19,0.8975,0.151133
56,6,Paulownia Studio,9.64,Magnolia Hall,Lotus Waterside,5,21.85,30.52,0.8789,0.201921
56,6,Paulownia Studio,9.64,Wall-Facing Pavilion,Magnolia Hall,6,27.98,38.19,1.0133,0.228212
57,6,Paulownia Studio,9.86,Wall-Facing Pavilion,Locked Green Studio,6,27.98,38.19,1.3038,0.131424
57,6,Paulownia Studio,9.86,Wall-Facing Pavilion,Lotus Waterside,6,27.98,38.19,0.8975,0.151133
57,6,Paulownia Studio,9.86,Magnolia Hall,Lotus Waterside,5,21.85,30.52,0.8789,0.201921
57,6,Paulownia Studio,9.86,Wall-Facing Pavilion,Magnolia Hall,6,27.98,38.19,1.0133,0.228212
58,6,Paulownia Studio,10.09,Wall-Facing Pavilion,Locked Green Studio,6,22.27,31.05,1.3038,0.106898
58,6,Paulownia Studio,10.09,Wall-Facing Pavilion,Lotus Waterside,6,22.27,31.05,0.8975,0.128788
58,6,Paulownia Studio,10.09,Wall-Facing Pavilion,Magnolia Hall,6,22.27,31.05,1.0133,0.198622
58,6,Paulownia Studio,10.09,Wall-Facing Pavilion,Phoenix Paulownia,6,22.27,31.05,0.9722,0.203324
59,6,Paulownia Studio,10.32,Wall-Facing Pavilion,Locked Green Studio,6,22.27,31.05,1.3038,0.106898
59,6,Paulownia Studio,10.32,Wall-Facing Pavilion,Lotus Waterside,6,22.27,31.05,0.8975,0.128788
59,6,Paulownia Studio,10.32,Wall-Facing Pavilion,Magnolia Hall,6,22.27,31.05,1.0133,0.198622
59,6,Paulownia Studio,10.32,Wall-Facing Pavilion,Phoenix Paulownia,6,22.27,31.05,0.9722,0.203324
60,6,Paulownia Studio,10.55,Wall-Facing Pavilion,Locked Green Studio,6,22.27,31.05,1.3038,0.106898
60,6,Paulownia Studio,10.55,Wall-Facing Pavilion,Lotus Waterside,6,22.27,31.05,0.8975,0.128788
60,6,Paulownia Studio,10.55,Wall-Facing Pavilion,Magnolia Hall,6,22.27,31.05,1.0133,0.198622
60,6,Paulownia Studio,10.55,Wall-Facing Pavilion,Phoenix Paulownia,6,22.27,31.05,0.9722,0.203324
61,6,Paulownia Studio,10.77,Wall-Facing Pavilion,Locked Green Studio,6,22.27,31.05,1.3038,0.106898
61,6,Paulownia Studio,10.77,Wall-Facing Pavilion,Lotus Waterside,6,22.27,31.05,0.8975,0.128788
61,6,Paulownia Studio,10.77,Wall-Facing Pavilion,Magnolia Hall,6,22.27,31.05,1.0133,0.198622
61,6,Paulownia Studio,10.77,Wall-Facing Pavilion,Phoenix Paulownia,6,22.27,31.05,0.9722,0.203324
79,10,South Snow Pavilion,14.0,Moon-Hoe Studio,Golden Chestnut Studio,8,15.21,22.2,1.4632,0.152007
79,10,South Snow Pavilion,14.0,Phoenix Paulownia,Moon-Hoe Studio,8,16.94,24.37,1.1895,0.186477
79,10,South Snow Pavilion,14.0,Phoenix Paulownia,Golden Chestnut Studio,8,16.94,24.37,1.4436,0.20032
79,10,South Snow Pavilion,14.0,Phoenix Paulownia,Stone Qin Room,8,16.94,24.37,1.3094,0.200417
80,10,South Snow Pavilion,14.23,Moon-Hoe Studio,Golden Chestnut Studio,8,12.16,18.38,1.4632,0.152007
80,10,South Snow Pavilion,14.23,Phoenix Paulownia,Golden Chestnut Studio,8,17.06,24.52,1.4436,0.197682
80,10,South Snow Pavilion,14.23,Phoenix Paulownia,Moon-Hoe Studio,8,17.06,24.52,1.1895,0.203406
80,10,South Snow Pavilion,14.23,Phoenix Paulownia,Stone Qin Room,8,17.06,24.52,1.3094,0.214845
81,10,South Snow Pavilion,14.46,Moon-Hoe Studio,Golden Chestnut Studio,8,12.16,18.38,1.4632,0.152007
81,10,South Snow Pavilion,14.46,Phoenix Paulownia,Golden Chestnut Studio,8,17.06,24.52,1.4436,0.197682
81,10,South Snow Pavilion,14.46,Phoenix Paulownia,Moon-Hoe Studio,8,17.06,24.52,1.1895,0.203406
81,10,South Snow Pavilion,14.46,Phoenix Paulownia,Stone Qin Room,8,17.06,24.52,1.3094,0.214845
82,10,South Snow Pavilion,14.69,Moon-Hoe Studio,Golden Chestnut Studio,8,12.16,18.38,1.4632,0.152007
