scenario,phase,frame,spot,goal,elapsed_min,step1,step2,arrive_min,crowd_lo,crowd_hi,changing_goal
Single destination change,1,1,Stone Arch Gate,Garden Tea Lodge,0.0,Magnolia Hall,Lotus Waterside,6,19.22,27.23,0
Single destination change,1,1,Stone Arch Gate,Garden Tea Lodge,0.0,Paulownia Studio,Wall-Facing Pavilion,6,30.46,41.3,0
Single destination change,1,1,Stone Arch Gate,Garden Tea Lodge,0.0,Paulownia Studio,South Snow Pavilion,6,30.46,41.3,0
Single destination change,1,1,Stone Arch Gate,Garden Tea Lodge,0.0,Magnolia Hall,Paulownia Studio,6,19.22,27.23,0
Single destination change,1,2,Stone Arch Gate,Garden Tea Lodge,0.0,Magnolia Hall,Lotus Waterside,6,19.22,27.23,0
Single destination change,1,2,Stone Arch Gate,Garden Tea Lodge,0.0,Paulownia Studio,Wall-Facing Pavilion,6,30.46,41.3,0
Single destination change,1,2,Stone Arch Gate,Garden Tea Lodge,0.0,Paulownia Studio,South Snow Pavilion,6,30.46,41.3,0
Single destination change,1,2,Stone Arch Gate,Garden Tea Lodge,0.0,Magnolia Hall,Paulownia Studio,6,19.22,27.23,0
Single destination change,1,3,Stone Arch Gate,Garden Tea Lodge,0.0,Magnolia Hall,Lotus Waterside,6,19.22,27.23,0
Single destination change,1,3,Stone Arch Gate,Garden Tea Lodge,0.0,Paulownia Studio,Wall-Facing Pavilion,6,30.46,41.3,0
Single destination change,1,3,Stone Arch Gate,Garden Tea Lodge,0.0,Paulownia Studio,South Snow Pavilion,6,30.46,41.3,0
Single destination change,1,3,Stone Arch Gate,Garden Tea Lodge,0.0,Magnolia Hall,Paulownia Studio,6,19.22,27.23,0
Single destination change,1,4,Stone Arch Gate,Garden Tea Lodge,0.0,Magnolia Hall,Lotus Waterside,6,19.22,27.23,0
Single destination change,1,4,Stone Arch Gate,Garden Tea Lodge,0.0,Paulownia Studio,Wall-Facing Pavilion,6,30.46,41.3,0
Single destination change,1,4,Stone Arch Gate,Garden Tea Lodge,0.0,Paulownia Studio,South Snow Pavilion,6,30.46,41.3,0
Single destination change,1,4,Stone Arch Gate,Garden Tea Lodge,0.0,Magnolia Hall,Paulownia Studio,6,19.22,27.23,0
Single destination change,1,5,Stone Arch Gate,Garden Tea Lodge,0.0,Magnolia Hall,Lotus Waterside,6,19.22,27.23,0
Single destination change,1,5,Stone Arch Gate,Garden Tea Lodge,0.0,Paulownia Studio,Wall-Facing Pavilion,6,30.46,41.3,0
Single destination change,1,5,Stone Arch Gate,Garden Tea Lodge,0.0,Paulownia Studio,South Snow Pavilion,6,30.46,41.3,0
Single destination change,1,5,Stone Arch Gate,Garden Tea Lodge,0.0,Magnolia Hall,Paulownia Studio,6,19.22,27.23,0
Single destination change,1,49,Paulownia Studio,Garden Tea Lodge,6.0,Wall-Facing Pavilion,Lotus Waterside,6,24.44,33.76,0
Single destination change,1,49,Paulownia Studio,Garden Tea Lodge,6.0,Wall-Facing Pavilion,Locked Green Studio,6,24.44,33.76,0
Single destination change,1,49,Paulownia Studio,Garden Tea Lodge,6.0,Magnolia Hall,Lotus Waterside,5,19.18,27.18,0
Single destination change,1,49,Paulownia Studio,Garden Tea Lodge,6.0,Wall-Facing Pavilion,Phoenix Paulownia,6,24.44,33.76,0
Single destination change,1,50,Paulownia Studio,Garden Tea Lodge,6.19,Wall-Facing Pavilion,Lotus Waterside,6,24.44,33.76,0
Single destination change,1,50,Paulownia Studio,Garden Tea Lodge,6.19,Wall-Facing Pavilion,Locked Green Studio,6,24.44,33.76,0
Single destination change,1,50,Paulownia Studio,Garden Tea Lodge,6.19,Magnolia Hall,Lotus Waterside,5,19.18,27.18,0
Single destination change,1,50,Paulownia Studio,Garden Tea Lodge,6.19,Wall-Facing Pavilion,Phoenix Paulownia,6,24.44,33.76,0
Single destination change,1,51,Paulownia Studio,Garden Tea Lodge,6.37,Wall-Facing Pavilion,Lotus Waterside,6,24.44,33.76,0
Single destination change,1,51,Paulownia Studio,Garden Tea Lodge,6.37,Wall-Facing Pavilion,Locked Green Studio,6,24.44,33.76,0
Single destination change,1,51,Paulownia Studio,Garden Tea Lodge,6.37,Magnolia Hall,Lotus Waterside,5,19.18,27.18,0
Single destination change,1,51,Paulownia Studio,Garden Tea Lodge,6.37,Wall-Facing Pavilion,Phoenix Paulownia,6,24.44,33.76,0
Single destination change,1,52,Paulownia Studio,Garden Tea Lodge,6.56,Wall-Facing Pavilion,Lotus Waterside,6,24.44,33.76,0
Single destination change,1,52,Paulownia Studio,Garden Tea Lodge,6.56,Wall-Facing Pavilion,Locked Green Studio,6,24.44,33.76,0
