排名,当前景点编号,当前景点名称,相邻景点编号,相邻景点名称,道路序号r,路径长度L,路径耗能C,通行时间τ,道路移步异景分Q,路径移步异景分Q,综合代价J,含主线偏好代价JR,到达所需分钟,到达时估计人数N̂,到达时保守人数N̄,到达时拥堵惩罚P
1,1,正门石坊,2,玉兰堂,1,451.73,5.41,6,0.8829,0.8829,0.18554,0.224428,6,14.317,18.943,0.0
2,1,正门石坊,6,桐荫斋,1,531.07,6.44,6,1.4967,1.4967,0.224386,0.269386,6,11.937,16.489,0.0
1,2,玉兰堂,1,正门石坊,1,451.73,5.41,6,0.8829,0.8829,0.124141,0.16303,6,2.368,3.716,0.0
2,2,玉兰堂,6,桐荫斋,1,461.43,5.04,5,1.0869,1.0869,0.208722,0.253722,5,15.87,20.422,0.0
3,2,玉兰堂,3,藕花水榭,1,371.2,5.41,4,0.6202,0.6202,0.226847,0.265736,4,19.804,24.287,0.0
4,2,玉兰堂,7,面壁亭,1,454.84,6.53,6,0.7885,0.7885,0.386698,0.431698,6,11.966,16.271,0.0
1,3,藕花水榭,4,月到风来亭,1,410.1,4.27,3,0.4949,0.4949,0.160422,0.199311,3,13.128,21.705,0.313
2,3,藕花水榭,7,面壁亭,1,521.41,5.54,10,0.6171,0.6171,0.174419,0.219419,10,6.841,11.147,0.0
3,3,藕花水榭,2,玉兰堂,1,371.2,5.41,4,0.6202,0.6202,0.234962,0.27385,4,23.792,28.418,0.269
4,3,藕花水榭,8,锁绿轩,1,568.21,7.12,4,1.227,1.227,0.682159,0.727159,4,26.138,32.146,2.295
1,4,月到风来亭,5,金粟亭,1,364.69,3.92,3,0.9558,0.9558,0.041093,0.079982,3,16.163,22.481,0.0
2,4,月到风来亭,9,湛露堂,1,553.39,6.3,10,0.7928,0.7928,0.300651,0.345651,10,7.18,16.801,0.0
3,4,月到风来亭,3,藕花水榭,1,410.1,4.27,3,0.4949,0.4949,0.346955,0.385843,3,23.609,28.092,1.259
4,4,月到风来亭,8,锁绿轩,1,374.18,5.48,4,2.067,2.067,0.480358,0.525358,4,26.138,32.146,2.295
1,5,金粟亭,9,湛露堂,1,427.82,4.9,8,0.6767,0.6767,0.135058,0.180058,8,13.325,22.945,0.0
2,5,金粟亭,4,月到风来亭,1,364.69,3.92,3,0.9558,0.9558,0.178134,0.217023,3,13.128,21.705,0.313
3,5,金粟亭,14,拜石轩,1,698.73,7.14,7,0.6351,0.6351,0.504026,0.542915,7,13.742,25.096,0.0
