参数名,最优取值,含义说明
alpha_B,1.08,建筑环境人数修正系数 αB
beta_B,0.9,建筑环境非均匀扩展 βB
alpha_F,1.12,林地环境人数修正系数 αF
beta_F,0.86,林地环境非均匀扩展 βF
alpha_W,0.98,水域环境人数修正系数 αW
beta_W,0.94,水域环境非均匀扩展 βW
lambda_I,0.15,进入人数反演平滑 λI
lambda_eps,1.5142857142857142,未来人数预测风险 λε
lambda_cong,2.8,拥堵惩罚强度 λi
kappa_cong,5.0,拥堵指数增益 κi
alpha_Q,0.35,移步异景-围合度方差权重 α
beta_Q,0.35,移步异景-平均梯度权重 β
gamma_Q,0.30000000000000004,移步异景-边界长度权重 γ
omega_L,0.15213977669789314,路径长度权重 ωL
omega_C,0.16634650800137527,路径耗能权重 ωC
omega_N,0.18553955557333637,未来人数权重 ωN
omega_P,0.2722339349073997,拥堵代价权重 ωP
omega_H,0.12963991137263212,参观景点数量权重 ωH
omega_Q,0.09410031344736346,移步异景评分权重 ωQ
omega_R,0.05,主线路偏好权重 ωR
wq_半开放建筑,1.05,景观元素权重 半开放建筑
wq_实体建筑,1.25,景观元素权重 实体建筑
wq_道路,0.45,景观元素权重 道路
wq_假山,1.15,景观元素权重 假山
wq_水体,1.35,景观元素权重 水体
wq_植物,0.95,景观元素权重 植物
