道路编号,起点景点编号,终点景点编号,道路序号r,道路长度L,围合度方差V,平均梯度G,有效景观边界B,平均围合度E,移步异景综合评分Q
1,1,2,1,451.73,5.578451288380263e-08,1.660376620489296e-06,90.94,0.0010874085504634103,0.8828574068959492
2,1,6,1,531.07,3.2700246560027885e-07,2.559215419726485e-06,75.7,0.001412700323614211,1.49673691645917
3,2,3,1,371.2,9.702950490716453e-09,9.312623691990161e-07,88.42,0.0009107979514385959,0.6202354659550239
4,2,6,1,461.43,9.264762595645368e-08,2.405894073064979e-06,77.76,0.0017553662207788281,1.08694928755563
5,2,7,1,454.84,5.409736820573728e-08,1.3439080823823488e-06,86.57,0.0008635816302192586,0.7884543257516676
6,2,7,2,708.57,5.290664030111936e-08,1.3476294433566494e-06,137.63,0.0008646414294588987,0.9426586911089421
7,3,4,1,410.1,3.3804559228942225e-08,9.928468070752668e-07,29.36,0.0004116252462971101,0.4948525845849331
8,3,7,1,521.41,1.5749082929793738e-08,8.60533592089006e-07,89.93,0.0007393629226693146,0.6170575715662145
9,3,8,1,568.21,2.9252626696824743e-07,2.0918745354089317e-06,43.36,0.0010872664421210899,1.2270439770649324
10,4,5,1,364.69,2.0615149740041517e-07,1.5183622002941509e-06,46.7,0.000736565366716567,0.9557791909025701
11,4,8,1,374.18,5.885558940453445e-07,2.8166447193909916e-06,103.53,0.001071101682891612,2.0670469506082325
12,4,9,1,553.39,3.737969007259862e-08,8.486385619859717e-07,137.25,0.00044434199237939416,0.7928410738044438
13,5,9,1,427.82,2.973337520895236e-08,1.3458319299089263e-06,62.57,0.0010279447474333993,0.6766752315664155
14,5,14,1,698.73,8.072482269776974e-09,7.326833172527034e-07,110.36,0.0012942692906129257,0.6351009658547346
15,6,7,1,379.63,2.352981230131778e-07,2.1053399673726113e-06,90.93,0.0010266557724944475,1.2826529225787089
16,6,10,1,382.02,4.7966419223895457e-08,1.3590902147461065e-06,88.73,0.001985309009889551,0.7888903586510794
17,6,11,1,574.39,2.1864852919278862e-07,4.259721487642078e-06,120.14,0.0017738196130789405,1.8782818262183323
18,7,8,1,451.21,3.255467087246501e-07,2.3914209618315884e-06,32.5,0.0009924471789416903,1.3215091245148085
19,7,11,1,504.0,2.9780718837385536e-08,1.8358373634054539e-06,42.93,0.0006465116622663198,0.7384414540616661
20,7,12,1,535.96,1.5866725094113898e-08,4.455240988462824e-07,72.99,0.0005740265391580349,0.4629465305789637
21,7,12,2,860.37,1.549721830472142e-08,4.4505596568151786e-07,202.8,0.0005723138659102341,0.8568085398256235
22,8,9,1,466.89,2.676345943141149e-07,2.5774693981875492e-06,86.0,0.0010273550406403671,1.436793330731378
23,8,12,1,438.12,1.7614265672226742e-07,1.8702621125049603e-06,38.23,0.001022285645699328,0.9687980222242949
24,8,13,1,658.93,1.2075226230125253e-07,1.6975647377285489e-06,158.71,0.001102694101347828,1.2028731648736528
25,8,13,2,878.27,1.1690227580679339e-07,1.6973189406868263e-06,69.67,0.0010978138720172293,0.9259529229612851
26,9,13,1,349.2,8.303892371327819e-09,9.420746051892109e-07,26.37,0.0010401114009589757,0.4320480633395355
27,9,14,1,400.84,2.2052789617459835e-08,9.648944236109374e-07,38.3,0.0012085259215069474,0.49614400783495394
28,10,11,1,464.97,2.753295069031477e-07,3.826143905536813e-06,113.69,0.0018022313219704707,1.8427060685481103
29,10,15,1,533.8,5.838142700459437e-07,3.69822174197584e-06,56.42,0.0015785226075376347,2.1345922154655392
30,11,12,1,466.14,9.216301441694646e-09,1.8170737483657228e-06,68.17,0.0008318185387780909,0.7773383361141795
31,11,15,1,495.17,1.5993611234160633e-08,1.362629824756129e-06,35.4,0.00048352441814501247,0.5760845168268277
32,11,16,1,528.47,5.4989515305717245e-08,3.1133998631395175e-06,41.89,0.0008389112680173643,1.0924359031366835
33,12,13,1,442.95,6.869750325700876e-09,4.565763477470466e-07,119.7,0.0009562233631267086,0.5931513444643527
34,12,16,1,433.47,3.198682704140498e-08,1.9461354093946385e-06,58.47,0.0008531847746043158,0.8165601495180062
35,12,17,1,457.22,3.6570979981924225e-09,5.571605675614367e-07,56.21,0.0007884683213628102,0.41990018782843136
36,12,17,2,842.02,3.3688401835388194e-09,5.449879918196357e-07,163.86,0.0007857618963089806,0.7436355994973018
37,13,14,1,444.4,3.387946526089384e-09,8.896410412221957e-07,92.27,0.0011497392658056465,0.611439731847983
38,13,17,1,492.71,2.7730112802481344e-09,9.367613020378615e-07,91.72,0.000936337713952772,0.6204489218864244
39,13,18,1,463.15,7.66216782326302e-08,1.1861125529954627e-06,117.25,0.0013047805563774686,0.8789565073412062
40,14,18,1,561.22,6.695243968051287e-08,1.200702263183086e-06,94.53,0.0012138365772127542,0.7979117827770763
41,14,21,1,855.83,6.455609687913697e-08,1.3330604828901679e-06,209.8,0.0010527899056518087,1.1772126862844041
42,15,16,1,362.58,5.301231847871089e-09,7.032560128117392e-07,61.44,0.0003538773908702731,0.4746417530088838
43,15,19,1,624.77,1.4160611926449314e-08,6.683422935722836e-07,94.41,0.000469334295417848,0.5805013484115071
44,16,17,1,441.77,1.6012911735479122e-08,7.473862412650713e-07,90.19,0.0006644961649835201,0.5902437072583543
45,16,19,1,363.57,8.018479502515511e-09,6.878224704536748e-07,55.28,0.0005695045629274171,0.4564778571144031
46,16,19,2,609.29,7.859065447001773e-09,6.855467079933033e-07,166.58,0.0005687463729728709,0.7939674832558994
47,17,18,1,491.85,8.41223234039441e-08,1.6078631349534662e-06,100.59,0.0015318705568636117,0.9448960305683627
48,17,20,1,489.7,2.3672461855445205e-08,1.4757233296345606e-06,97.66,0.0012582538717536066,0.8057359028106503
49,18,20,1,496.67,2.3538392597499256e-08,2.3674404219582378e-06,111.74,0.0013198010718483038,1.0692209953879153
50,18,21,1,283.91,1.1843893172834102e-07,1.9404462920987343e-06,68.33,0.0009651370126738251,0.9845882815126656
51,19,20,1,424.49,2.5424873897070645e-08,1.201667687165696e-06,69.18,0.0009895725382240903,0.6541030459692223
52,19,22,1,1196.31,9.150407171873106e-08,1.5645092823127904e-06,292.85,0.0007339852870568629,1.5304633164880415
53,20,21,1,466.94,4.498558699146725e-08,1.8975900462261903e-06,130.35,0.0006995431886458259,1.0439924724289524
54,20,22,1,851.28,4.8353194851293674e-08,1.7843704003004508e-06,159.26,0.0005404510859880764,1.1092531294556511
55,21,22,1,393.7,1.2660098134226046e-08,1.8341884164656937e-06,92.24,0.0006506780791027636,0.8602975820453802
