排名,当前景点编号,当前景点名称,第一步景点编号,第一步景点名称,第二步景点编号,第二步景点名称,路径长度L,路径耗能C,路径时间T,路径移步异景分Q,参观景点数H,路径未来人数N,路径拥堵代价P,综合代价J,含主线偏好代价JR,与主线路重合度R,第一步到达分钟,第一步估计人数N̂,第一步保守人数N̄,第一步拥堵惩罚P,第二步到达分钟,第二步估计人数N̂,第二步保守人数N̄,第二步拥堵惩罚P,第一段道路序号r,第二段道路序号r,第一段道路移步异景分,第二段道路移步异景分
1,1,正门石坊,6,桐荫斋,7,面壁亭,910.7,10.39,17.0,1.4075,1,27.431,0.0,0.004575,0.050029,0.0909,6,11.937,16.489,0.0,17,6.636,10.942,0.0,1,1,1.4967,1.2827
2,1,正门石坊,2,玉兰堂,3,藕花水榭,822.93,10.82,16.0,0.7644,1,26.69,0.0,0.042118,0.075451,0.3333,6,14.317,18.943,0.0,16,3.264,7.747,0.0,1,1,0.8829,0.6202
3,1,正门石坊,6,桐荫斋,10,南雪亭,913.09,12.13,14.0,1.2006,1,26.463,0.0,0.15364,0.199095,0.0909,6,11.937,16.489,0.0,14,3.19,9.973,0.0,1,1,1.4967,0.7889
4,1,正门石坊,2,玉兰堂,6,桐荫斋,913.16,10.45,17.0,0.986,1,34.504,0.0,0.216865,0.256865,0.2,6,14.317,18.943,0.0,17,11.009,15.562,0.0,1,1,0.8829,1.0869
5,1,正门石坊,6,桐荫斋,2,玉兰堂,992.5,11.48,16.0,1.3062,1,30.779,0.0,0.229573,0.269573,0.2,6,11.937,16.489,0.0,16,9.664,14.29,0.0,1,1,1.4967,1.0869
6,1,正门石坊,2,玉兰堂,7,面壁亭,906.57,11.94,18.0,0.8355,1,29.692,0.0,0.245276,0.285276,0.2,6,14.317,18.943,0.0,18,6.444,10.75,0.0,1,1,0.8829,0.7885
7,1,正门石坊,6,桐荫斋,11,碧梧栖凤,1105.46,12.33,16.0,1.695,1,30.816,0.0,0.324835,0.370289,0.0909,6,11.937,16.489,0.0,16,6.402,14.327,0.0,1,1,1.4967,1.8783
1,2,玉兰堂,1,正门石坊,6,桐荫斋,982.8,11.85,15.5,1.2146,1,19.152,0.0,0.059176,0.099176,0.2,6,2.368,3.716,0.0,16,10.883,15.436,0.0,1,1,0.8829,1.4967
2,2,玉兰堂,6,桐荫斋,7,面壁亭,841.06,8.99,16.0,1.1753,1,31.338,0.0,0.093543,0.138998,0.0909,5,15.87,20.422,0.0,16,6.61,10.916,0.0,1,1,1.0869,1.2827
3,2,玉兰堂,6,桐荫斋,1,正门石坊,992.5,11.48,16.0,1.3062,1,24.278,0.0,0.102048,0.142048,0.2,5,15.87,20.422,0.0,16,2.508,3.855,0.0,1,1,1.0869,1.4967
4,2,玉兰堂,7,面壁亭,8,锁绿轩,906.05,12.47,17.0,1.0539,1,26.383,0.0,0.148206,0.193661,0.0909,6,11.966,16.271,0.0,17,4.103,10.112,0.0,1,1,0.7885,1.3215
5,2,玉兰堂,6,桐荫斋,10,南雪亭,843.45,10.73,13.0,0.952,1,30.723,0.0,0.148939,0.194394,0.0909,5,15.87,20.422,0.0,13,3.517,10.3,0.0,1,1,1.0869,0.7889
6,2,玉兰堂,7,面壁亭,6,桐荫斋,834.47,10.48,19.0,1.0133,1,32.158,0.0,0.150792,0.196247,0.0909,6,11.966,16.271,0.0,19,11.334,15.887,0.0,1,1,0.7885,1.2827
